FrameID, Prepare, Placement, Opacity, Upload, Render, Total
104, 848, 128, 17, 81, 8089, 9166
105, 889, 528, 71, 93, 7895, 9478
106, 978, 1643, 1839, 534, 8046, 13042
107, 870, 547, 37, 90, 8055, 9601
108, 928, 1693, 2145, 432, 7814, 13014
109, 854, 558, 30, 136, 8325, 9905
110, 883, 1575, 1847, 488, 8600, 13395
111, 1149, 866, 35, 80, 7775, 9907
112, 1007, 1576, 1918, 476, 8299, 13278
113, 957, 501, 26, 82, 7936, 9504
114, 926, 1602, 1781, 487, 7843, 12642
115, 900, 543, 28, 73, 7886, 9432
116, 925, 1612, 2233, 485, 8273, 13532
117, 1093, 472, 23, 73, 7806, 9468
118, 848, 1486, 45, 332, 8157, 10870
119, 1222, 91, 9, 59, 8332, 9716
120, 901, 153, 17, 215, 7984, 9271
121, 864, 138, 82, 495, 8468, 10049
122, 983, 123, 68, 330, 7846, 9352
123, 952, 135, 10, 389, 8127, 9614
124, 969, 159, 16, 295, 8712, 10152
125, 798, 157, 129, 605, 7811, 9501
126, 770, 160, 155, 432, 7843, 9362
127, 922, 190, 298, 768, 8516, 10695
128, 896, 160, 217, 227, 8096, 9598
129, 886, 161, 212, 186, 7891, 9338
130, 1280, 146, 217, 357, 8642, 10644
131, 945, 168, 214, 421, 8152, 9902
132, 881, 124, 9, 260, 7876, 9152
133, 924, 141, 11, 321, 8589, 9987
134, 875, 126, 9, 383, 8829, 10225
135, 877, 130, 39, 280, 7930, 9259
136, 963, 134, 11, 383, 8455, 9949
137, 805, 506, 29, 100, 7844, 9285
138, 789, 1636, 2148, 456, 7607, 12637
139, 900, 561, 33, 78, 8126, 9700
140, 975, 1772, 2404, 461, 8659, 14273
141, 835, 520, 114, 851, 8561, 10884
142, 823, 1585, 54, 138, 8044, 10645
143, 1253, 150, 208, 290, 7864, 9768
144, 835, 156, 121, 386, 7996, 9496
145, 902, 163, 123, 436, 8780, 10406
146, 834, 155, 132, 413, 8348, 9883
147, 885, 119, 40, 82, 8038, 9167
148, 1201, 151, 11, 324, 9294, 10983
149, 1017, 132, 10, 69, 8956, 10186
150, 832, 110, 9, 72, 7759, 8784
151, 942, 133, 9, 274, 7905, 9265
152, 939, 134, 9, 253, 8381, 9718
153, 990, 155, 14, 235, 8110, 9506
154, 977, 138, 40, 270, 8823, 10249
155, 928, 147, 42, 86, 8193, 9399
156, 1019, 99, 10, 55, 7400, 8584
157, 785, 101, 9, 65, 7723, 8684
158, 886, 103, 9, 68, 8060, 9128
159, 754, 107, 9, 76, 7917, 8865
160, 736, 364, 12, 80, 8109, 9303
161, 1264, 1709, 1930, 483, 8294, 13681
162, 787, 372, 14, 89, 7940, 9203
163, 850, 1815, 2141, 5134, 18147, 28089
164, 689, 508, 25, 98, 11639, 12961
165, 664, 1133, 2251, 803, 10938, 15792
166, 621, 298, 11, 74, 10565, 11571
167, 683, 95, 9, 64, 11894, 12747
168, 645, 1171, 2346, 372, 10644, 15179
169, 747, 323, 12, 71, 14209, 15364
170, 972, 1467, 2098, 527, 11356, 16421
171, 1022, 478, 26, 263, 10805, 12596
172, 1111, 2787, 3074, 497, 10753, 18224
173, 872, 522, 2036, 6485, 16618, 26535
174, 1606, 1576, 2203, 614, 11559, 17559
175, 2061, 998, 30, 315, 12006, 15412
176, 1908, 1551, 2697, 586, 10534, 17278
177, 1993, 2767, 475, 555, 11480, 17271
178, 1757, 1859, 4049, 1076, 11173, 19915
179, 985, 437, 24, 467, 11671, 13585
180, 1775, 1421, 2902, 523, 10785, 17408
181, 1648, 587, 235, 501, 11358, 14331
182, 1806, 1661, 1998, 616, 11059, 17142
183, 1746, 611, 28, 196, 11063, 13645
184, 1239, 2061, 2380, 954, 11541, 18176
185, 1659, 763, 2280, 5623, 19588, 29914
186, 1643, 1824, 2280, 737, 11322, 17807
187, 1867, 539, 25, 274, 12070, 14778
188, 1831, 1729, 2462, 655, 11308, 17986
189, 1215, 512, 28, 140, 11959, 13856
190, 891, 1714, 2586, 588, 11513, 17295
191, 1428, 615, 23, 99, 11456, 13623
192, 1150, 1874, 2505, 573, 11130, 17233
193, 1400, 779, 33, 106, 11321, 13641
194, 1160, 1852, 2801, 677, 11060, 17551
195, 1165, 734, 27, 134, 11315, 13376
196, 891, 1626, 2933, 700, 11520, 17672
197, 922, 594, 49, 140, 11530, 13238
198, 894, 1545, 3336, 538, 11457, 17772
199, 1062, 829, 29, 108, 10844, 12874
200, 991, 1901, 2438, 572, 11475, 17378
201, 872, 458, 21, 96, 10792, 12241
202, 1196, 1668, 2600, 652, 11709, 17826
203, 839, 466, 26, 228, 11630, 13190
204, 1172, 1707, 2199, 653, 11754, 17488
205, 852, 454, 20, 92, 11850, 13270
206, 998, 1502, 2407, 591, 11627, 17128
