FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
56, 664, 82, 9, 51, 759, 4059, 3491, 9117
57, 1263, 334, 12, 61, 749, 3766, 3220, 9407
58, 799, 1385, 1785, 303, 726, 3762, 3149, 11912
59, 837, 617, 27, 72, 822, 3889, 2996, 9261
60, 940, 1381, 1844, 304, 744, 3598, 3205, 12018
61, 888, 413, 15, 84, 956, 3757, 3359, 9475
62, 856, 1539, 2070, 496, 736, 3561, 3185, 12445
63, 930, 549, 28, 74, 783, 3929, 3291, 9587
64, 1105, 1105, 1814, 436, 762, 3794, 3201, 12219
65, 919, 521, 23, 67, 756, 3954, 3130, 9371
66, 936, 1790, 1886, 500, 753, 3587, 3133, 12587
67, 957, 554, 28, 69, 951, 4095, 3101, 9757
68, 969, 1417, 2120, 614, 839, 4181, 3222, 13364
69, 714, 384, 17, 161, 850, 3659, 3473, 9260
70, 882, 1662, 1922, 519, 762, 3768, 3283, 12800
71, 928, 544, 540, 428, 795, 3787, 3604, 10628
72, 1224, 1263, 53, 127, 1031, 3677, 3268, 10646
73, 882, 153, 238, 711, 756, 3725, 3108, 9575
74, 935, 166, 230, 263, 883, 3725, 3135, 9338
75, 993, 152, 214, 677, 872, 3684, 3618, 10211
76, 1130, 162, 423, 327, 766, 3941, 3160, 9911
77, 1087, 92, 20, 98, 750, 3752, 3110, 8910
78, 907, 122, 11, 140, 751, 3827, 3390, 9150
79, 838, 115, 62, 183, 759, 3814, 3288, 9061
80, 936, 119, 11, 246, 788, 3811, 3201, 9114
81, 845, 122, 11, 283, 761, 3744, 3317, 9085
82, 813, 118, 35, 184, 774, 3775, 3337, 9039
83, 992, 120, 11, 111, 741, 3821, 3243, 9041
84, 861, 122, 42, 194, 768, 3747, 3358, 9093
85, 860, 121, 12, 335, 760, 3874, 3191, 9154
86, 912, 118, 11, 214, 734, 3759, 3193, 8943
87, 866, 119, 11, 84, 752, 3763, 3341, 8938
88, 864, 121, 11, 112, 750, 3815, 3337, 9013
89, 892, 122, 11, 282, 831, 3649, 3344, 9133
90, 1198, 106, 11, 221, 794, 4239, 3250, 9821
91, 871, 463, 20, 91, 844, 3755, 3571, 9617
92, 928, 1460, 2351, 428, 744, 3607, 3226, 12745
93, 904, 530, 23, 65, 727, 3952, 3053, 9255
94, 867, 1416, 50, 98, 798, 3726, 3142, 10099
95, 885, 138, 12, 255, 749, 3832, 3176, 9049
96, 877, 191, 67, 81, 852, 3640, 3627, 9338
97, 896, 123, 12, 210, 742, 3831, 3284, 9099
98, 865, 120, 65, 296, 796, 3656, 3267, 9066
99, 832, 122, 11, 138, 751, 3808, 3460, 9124
100, 955, 122, 20, 77, 750, 3822, 3412, 9159
101, 871, 119, 38, 204, 915, 4223, 3738, 10110
102, 1324, 102, 51, 230, 859, 4000, 3280, 9848
103, 1129, 98, 11, 212, 803, 3856, 3041, 9151
104, 819, 112, 9, 72, 747, 3769, 3438, 8968
105, 817, 104, 9, 65, 762, 3783, 3241, 8783
106, 765, 103, 9, 70, 822, 3740, 3215, 8726
107, 787, 103, 9, 63, 740, 3803, 3116, 8623
108, 688, 102, 9, 104, 785, 3856, 3528, 9075
109, 862, 234, 15, 167, 791, 3775, 3102, 8949
110, 903, 115, 9, 135, 782, 3876, 3146, 8969
111, 867, 123, 9, 67, 848, 3903, 3547, 9366
112, 971, 957, 1980, 4396, 1386, 8055, 8927, 26674
113, 1403, 114, 9, 93, 908, 6991, 4518, 14038
114, 953, 1317, 2979, 854, 861, 5142, 4060, 16167
115, 777, 321, 13, 76, 906, 5403, 4237, 11733
116, 672, 90, 9, 62, 1464, 8931, 3367, 14598
117, 729, 1257, 2435, 364, 885, 4776, 5965, 16412
118, 855, 339, 14, 82, 1362, 5724, 3392, 11769
119, 684, 92, 9, 64, 1069, 5298, 3483, 10701
120, 794, 1495, 1883, 363, 831, 4631, 3696, 13695
121, 814, 359, 11, 94, 860, 4789, 3520, 10449
122, 798, 124, 9, 84, 849, 4723, 3860, 10449
123, 872, 1603, 2423, 340, 853, 4650, 3822, 14564
124, 1064, 405, 13, 76, 871, 6050, 4056, 12537
125, 944, 101, 9, 61, 914, 15135, 3675, 20842
126, 1736, 1322, 2596, 7470, 880, 8105, 8524, 30635
127, 1296, 6329, 116, 160, 2114, 6065, 4599, 20681
128, 872, 1532, 2024, 597, 849, 5160, 6509, 17545
129, 1203, 486, 167, 946, 931, 5460, 5288, 14482
130, 1273, 2069, 307, 540, 1053, 5669, 4503, 15415
131, 845, 168, 102, 327, 859, 5663, 4888, 12855
132, 850, 1554, 2371, 547, 1133, 5401, 4684, 16541
133, 903, 475, 276, 606, 1735, 5589, 6816, 16401
134, 892, 1673, 3571, 616, 1153, 5192, 4558, 17657
135, 1235, 715, 3140, 3878, 1002, 7742, 10602, 28315
136, 872, 266, 18, 243, 1060, 6125, 4387, 12972
137, 1063, 228, 11, 86, 1023, 5823, 4476, 12712
138, 1038, 1750, 3727, 667, 1204, 5298, 4587, 18274
139, 2021, 604, 391, 683, 1499, 6300, 4906, 16405
140, 1693, 1605, 2965, 662, 1222, 5904, 4599, 18652
141, 883, 495, 21, 310, 1217, 5789, 4062, 12778
142, 1203, 1551, 2546, 535, 1231, 5736, 4409, 17213
143, 1175, 489, 22, 220, 1323, 6022, 4385, 13638
144, 1013, 125, 9, 77, 1279, 6389, 4334, 13229
145, 801, 135, 10, 176, 1249, 5525, 4276, 12174
146, 932, 2283, 2664, 618, 1282, 6477, 4873, 19131
147, 976, 427, 21, 92, 1178, 6862, 4196, 13754
148, 883, 1668, 2472, 474, 1277, 6545, 4916, 18237
149, 970, 464, 24, 91, 1219, 6667, 4113, 13549
150, 863, 1557, 2403, 626, 1863, 5666, 4483, 17463
151, 806, 449, 27, 99, 1368, 7143, 4038, 13932
