FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
725, 7705, 3973, 845, 581, 0, 2915, 4422, 20444
726, 1760, 345, 13, 107, 0, 3066, 4483, 9775
727, 2447, 791, 332, 311, 0, 2985, 4646, 11513
728, 2226, 447, 232, 476, 0, 1879, 3035, 8297
729, 2363, 883, 238, 207, 0, 1919, 3500, 9112
730, 1769, 446, 17, 80, 0, 1790, 3742, 7846
731, 2055, 587, 230, 215, 0, 2258, 3015, 8361
732, 2551, 984, 32, 76, 0, 1987, 3074, 8705
733, 1945, 1167, 489, 236, 0, 2965, 3788, 10592
734, 1822, 540, 23, 102, 0, 2149, 2742, 7380
735, 1638, 822, 243, 208, 0, 2329, 3109, 8350
736, 2153, 493, 26, 74, 0, 2429, 3022, 8199
737, 1997, 861, 440, 469, 0, 1866, 3716, 9352
738, 1933, 476, 25, 69, 0, 1999, 2924, 7428
739, 2297, 866, 302, 302, 0, 2085, 3475, 9329
740, 2469, 489, 376, 160, 0, 1421, 2044, 6962
741, 1714, 898, 1010, 483, 0, 2035, 2778, 8921
742, 2588, 608, 275, 459, 0, 2109, 2255, 8296
743, 2318, 887, 481, 451, 0, 1396, 2118, 7654
744, 2269, 545, 24, 62, 0, 1452, 2042, 6396
745, 2479, 760, 308, 318, 0, 1320, 2301, 7488
746, 2440, 464, 23, 63, 0, 1184, 2578, 6754
747, 2233, 728, 287, 405, 0, 1214, 2485, 7353
748, 2430, 698, 1293, 759, 0, 1852, 2415, 9448
749, 1615, 752, 99, 111, 0, 1364, 2181, 6124
750, 1814, 497, 22, 46, 0, 1190, 2570, 6140
751, 1857, 100, 10, 36, 0, 1345, 2467, 5816
752, 2393, 96, 9, 94, 0, 1327, 2378, 6299
753, 1797, 291, 17, 44, 0, 1498, 2321, 5970
754, 2058, 100, 10, 98, 0, 1619, 2241, 6127
755, 2245, 98, 9, 276, 0, 1195, 2508, 6333
756, 2191, 94, 9, 36, 0, 1195, 2075, 5601
757, 2040, 96, 9, 34, 0, 1311, 2785, 6277
758, 2054, 97, 9, 43, 0, 1207, 2114, 5526
759, 2260, 96, 9, 98, 0, 1182, 2273, 5920
760, 1761, 96, 27, 378, 0, 1309, 2449, 6023
761, 2034, 91, 9, 38, 0, 1190, 2007, 5371
762, 1782, 96, 10, 77, 0, 1442, 2597, 6005
763, 1912, 368, 12, 100, 0, 1258, 2303, 5956
764, 1842, 89, 9, 36, 0, 1568, 2487, 6033
765, 1900, 324, 10, 78, 0, 1352, 2133, 5799
766, 2824, 97, 10, 96, 0, 1223, 2332, 6584
767, 1899, 93, 10, 35, 0, 1227, 2554, 5820
768, 2035, 504, 134, 105, 0, 566, 1233, 4578
769, 1787, 891, 124, 124, 0, 629, 1334, 4890
770, 2064, 687, 48, 40, 0, 695, 1485, 5021
771, 1790, 750, 101, 63, 0, 828, 1351, 4884
772, 1554, 115, 11, 36, 0, 790, 1433, 3940
773, 1907, 83, 10, 26, 0, 590, 1964, 4582
774, 1387, 95, 9, 33, 0, 546, 1685, 3757
775, 1884, 89, 10, 67, 0, 681, 1382, 4114
776, 1500, 188, 13, 39, 0, 597, 1563, 3903
777, 2126, 81, 9, 28, 0, 695, 1458, 4400
778, 1622, 109, 10, 25, 0, 563, 1757, 4087
779, 1789, 93, 9, 25, 0, 623, 1531, 4072
780, 1652, 195, 14, 36, 0, 722, 1510, 4130
781, 1694, 115, 31, 33, 0, 731, 1512, 4118
