FrameID, Prepare, Placement, Opacity, Upload, Render, Total
54, 1111, 100, 12, 93, 7634, 8951
55, 931, 118, 11, 285, 7821, 9169
56, 1004, 119, 12, 118, 8030, 9284
57, 865, 107, 45, 260, 7867, 9148
58, 883, 111, 64, 188, 7960, 9208
59, 1008, 125, 13, 287, 8438, 9872
60, 860, 112, 36, 267, 7860, 9137
61, 868, 112, 39, 172, 8120, 9313
62, 933, 5701, 2077, 418, 8378, 17509
63, 874, 91, 9, 86, 7519, 8581
64, 847, 109, 11, 267, 7937, 9174
65, 879, 116, 11, 408, 7755, 9171
66, 853, 108, 70, 201, 7877, 9110
67, 842, 106, 41, 241, 8091, 9323
68, 1024, 116, 12, 114, 8078, 9345
69, 885, 112, 11, 277, 7820, 9108
70, 868, 117, 11, 286, 8059, 9342
71, 966, 180, 17, 161, 7827, 9152
72, 868, 119, 11, 373, 7825, 9197
73, 1105, 187, 16, 220, 9420, 10949
74, 1146, 335, 357, 211, 9818, 11869
75, 789, 130, 200, 362, 7809, 9292
76, 855, 167, 250, 381, 7825, 9480
77, 960, 156, 202, 390, 7901, 9612
78, 890, 114, 11, 254, 7673, 8945
79, 871, 113, 11, 111, 7996, 9105
80, 953, 124, 11, 113, 7846, 9050
81, 892, 6004, 1883, 392, 8355, 17528
82, 801, 173, 12, 55, 7615, 8658
83, 910, 119, 11, 128, 7943, 9113
84, 868, 116, 11, 69, 7844, 8910
85, 826, 113, 11, 136, 8089, 9177
86, 961, 121, 11, 410, 8007, 9511
87, 841, 116, 11, 122, 7964, 9056
88, 1151, 100, 11, 93, 7792, 9149
89, 1022, 118, 12, 103, 7918, 9174
90, 891, 117, 11, 118, 7915, 9054
91, 951, 117, 11, 114, 7905, 9100
92, 994, 111, 11, 291, 7739, 9148
93, 673, 107, 10, 67, 8000, 8859
94, 864, 114, 39, 197, 7861, 9077
95, 913, 118, 11, 111, 7996, 9151
96, 714, 118, 9, 67, 8587, 9497
97, 1210, 109, 34, 421, 8446, 10222
98, 1157, 127, 11, 279, 8832, 10406
99, 823, 6326, 2107, 398, 8319, 17974
100, 1006, 104, 9, 52, 8536, 9709
101, 1463, 120, 15, 157, 7851, 9609
102, 976, 113, 11, 268, 8042, 9412
103, 1061, 122, 10, 71, 8021, 9286
104, 773, 179, 10, 67, 8006, 9036
105, 1009, 102, 21, 66, 7869, 9070
106, 973, 108, 33, 219, 7738, 9074
107, 954, 119, 10, 80, 7812, 8976
108, 1116, 115, 10, 85, 8580, 9908
109, 857, 92, 10, 92, 8173, 9225
110, 778, 122, 10, 70, 8307, 9288
111, 1013, 387, 2518, 3697, 19325, 26942
112, 741, 94, 9, 63, 11469, 12378
113, 804, 94, 40, 172, 10343, 11456
114, 764, 126, 77, 277, 9729, 10975
115, 1026, 130, 14, 223, 9198, 10593
116, 988, 460, 20, 107, 9309, 10886
117, 1404, 8290, 2446, 393, 10439, 22973
118, 772, 123, 70, 194, 10742, 11903
119, 829, 132, 14, 274, 9617, 10868
120, 1037, 106, 9, 65, 9102, 10321
121, 1028, 397, 2811, 5035, 21252, 30525
122, 1884, 154, 115, 402, 10738, 13293
123, 800, 192, 19, 242, 11584, 12839
124, 1222, 156, 208, 286, 10475, 12348
125, 955, 170, 127, 592, 10378, 12224
126, 1165, 181, 551, 240, 10137, 12277
127, 1216, 526, 21, 296, 10526, 12587
128, 2892, 3025, 23980, 4963, 17971, 52833
129, 1470, 136, 10, 80, 18467, 20165
130, 1009, 106, 10, 75, 11712, 12913
131, 1563, 122, 10, 76, 11800, 13572
132, 753, 9657, 3111, 450, 11656, 25628
133, 744, 105, 9, 94, 12578, 13531
134, 1141, 145, 48, 152, 11866, 13354
135, 1089, 114, 9, 122, 11774, 13110
136, 1573, 202, 18, 209, 12082, 14087
137, 1033, 309, 16, 87, 11299, 12746
138, 847, 153, 129, 331, 11502, 12964
139, 1175, 417, 108, 687, 11182, 13571
140, 1010, 177, 362, 591, 10956, 13096
141, 1011, 184, 352, 633, 11389, 13571
142, 1032, 382, 24, 243, 11206, 12889
143, 975, 177, 148, 699, 10746, 12748
144, 987, 178, 117, 681, 10884, 12848
145, 1113, 192, 220, 544, 10653, 12725
146, 1240, 163, 199, 297, 10947, 12847
147, 1013, 176, 217, 270, 10816, 12494
148, 1176, 187, 209, 591, 10900, 13065
149, 788, 131, 9, 96, 10941, 11966
150, 997, 8965, 2454, 553, 11524, 24494
151, 885, 139, 16, 346, 12194, 13582
152, 867, 139, 16, 261, 13120, 14405
153, 876, 142, 16, 265, 11839, 13140
154, 812, 143, 93, 311, 11503, 12863
155, 1208, 130, 38, 262, 10611, 12251
156, 1340, 137, 9, 73, 10809, 12370
157, 1246, 149, 11, 163, 10766, 12338
158, 986, 163, 16, 326, 10779, 12271
159, 1214, 125, 44, 158, 10788, 12330
160, 1121, 145, 39, 279, 11227, 12814
161, 1029, 172, 16, 298, 10659, 12175
162, 954, 165, 16, 284, 10702, 12122
163, 1127, 152, 36, 320, 10775, 12413
164, 1006, 141, 11, 146, 11024, 12331
165, 1161, 164, 16, 273, 10764, 12381
166, 1045, 145, 38, 236, 10958, 12423
167, 1095, 166, 16, 291, 11579, 13149
168, 963, 8887, 3002, 405, 13987, 27245
169, 1023, 118, 36, 175, 12111, 13465
170, 829, 115, 11, 124, 12038, 13119
171, 875, 135, 16, 279, 12014, 13320
172, 815, 130, 16, 179, 12175, 13317
173, 908, 133, 16, 223, 11026, 12308
174, 1066, 140, 37, 281, 10668, 12194
175, 980, 164, 75, 248, 10861, 12330
176, 942, 167, 16, 294, 10970, 12392
177, 975, 213, 40, 310, 10838, 12378
178, 990, 137, 11, 151, 11248, 12539
179, 951, 164, 16, 270, 11207, 12608
180, 923, 168, 16, 373, 10855, 12335
181, 1005, 220, 161, 226, 10765, 12379
182, 956, 162, 16, 322, 10792, 12249
183, 968, 166, 16, 296, 10834, 12282
184, 1275, 121, 61, 92, 11175, 12725
185, 1051, 143, 38, 234, 10789, 12256
186, 1067, 169, 16, 299, 11080, 12632
187, 1023, 7723, 2327, 535, 11691, 23300
188, 838, 126, 16, 222, 11716, 12920
189, 664, 100, 9, 69, 11781, 12625
190, 666, 92, 9, 65, 10650, 11485
191, 752, 129, 10, 96, 10912, 11900
192, 884, 177, 14, 385, 10873, 12336
193, 1133, 145, 38, 296, 10692, 12307
194, 968, 136, 9, 89, 11344, 12548
195, 999, 171, 16, 217, 10749, 12155
196, 1016, 217, 10, 258, 10902, 12405
197, 1226, 162, 14, 271, 10621, 12295
198, 994, 187, 178, 260, 10930, 12551
199, 1129, 278, 311, 610, 10635, 12966
200, 1010, 454, 78, 193, 11014, 12752
201, 961, 178, 193, 547, 11551, 13432
202, 1052, 144, 37, 783, 11072, 13091
203, 961, 171, 16, 301, 10486, 11936
204, 943, 173, 16, 292, 10374, 11799
205, 1086, 149, 38, 303, 10530, 12107
206, 935, 7810, 2727, 617, 11223, 23314
207, 903, 141, 127, 248, 11269, 12689
208, 836, 141, 126, 267, 11474, 12846
209, 953, 142, 15, 174, 11839, 13125
210, 1098, 320, 2162, 544, 8821, 12947
211, 1345, 292, 16, 125, 8595, 10374
212, 932, 147, 16, 200, 8907, 10203
213, 913, 132, 38, 286, 8924, 10296
214, 990, 137, 10, 382, 9113, 10634
215, 923, 148, 15, 211, 8861, 10160
216, 896, 125, 37, 204, 9160, 10424
217, 1089, 131, 12, 375, 9161, 10770
218, 914, 127, 36, 190, 9364, 10632
219, 989, 129, 63, 107, 9102, 10392
220, 1127, 125, 12, 121, 9278, 10664
221, 922, 127, 37, 215, 9039, 10342
222, 1168, 113, 11, 329, 8793, 10416
223, 971, 133, 11, 300, 8874, 10293
224, 921, 129, 37, 304, 8943, 10336
225, 928, 6545, 2553, 497, 9609, 20135
226, 781, 94, 23, 115, 9858, 10873
227, 927, 126, 43, 235, 8794, 10127
228, 1090, 129, 11, 292, 8952, 10477
229, 1109, 149, 9, 323, 9223, 10815
230, 907, 151, 16, 280, 8822, 10178
231, 880, 127, 37, 205, 8918, 10170
232, 1017, 136, 11, 269, 9288, 10722
233, 891, 124, 39, 284, 8830, 10169
234, 887, 153, 16, 199, 8990, 10246
235, 1146, 113, 65, 286, 8628, 10240
236, 925, 126, 37, 275, 9211, 10576
237, 924, 129, 70, 255, 8832, 10211
238, 998, 144, 9, 262, 8987, 10402
239, 961, 128, 38, 275, 8915, 10318
240, 924, 134, 47, 220, 8873, 10200
241, 1009, 128, 11, 273, 8796, 10219
242, 923, 130, 40, 216, 8851, 10162
243, 914, 126, 36, 307, 8898, 10283
244, 990, 7058, 1969, 473, 9740, 20232
245, 839, 98, 34, 158, 8670, 9801
246, 1011, 128, 63, 256, 8747, 10207
247, 940, 122, 12, 91, 8846, 10013
248, 1175, 112, 11, 70, 8862, 10233
249, 905, 121, 19, 86, 9502, 10635
250, 758, 115, 9, 82, 9062, 10028
251, 726, 114, 9, 82, 9239, 10172
252, 820, 130, 10, 89, 8861, 9912
253, 1015, 132, 12, 90, 8806, 10057
254, 808, 125, 12, 156, 9508, 10612
255, 880, 138, 11, 91, 8953, 10075
256, 918, 129, 11, 137, 9046, 10243
257, 859, 120, 20, 89, 8930, 10021
258, 839, 122, 11, 106, 8869, 9949
259, 933, 123, 11, 84, 8958, 10111
260, 806, 121, 12, 111, 8840, 9892
261, 1177, 111, 11, 64, 8949, 10314
262, 788, 7265, 1878, 490, 10106, 20529
263, 789, 92, 11, 88, 8780, 9762
264, 997, 119, 19, 97, 8893, 10127
265, 1051, 139, 12, 77, 8817, 10097
266, 879, 124, 20, 82, 9009, 10117
267, 858, 128, 11, 83, 8933, 10015
268, 1000, 132, 9, 84, 9015, 10242
269, 846, 118, 19, 86, 9072, 10144
270, 902, 129, 37, 202, 8912, 10184
271, 1058, 148, 11, 309, 8843, 10371
272, 920, 129, 38, 295, 8864, 10248
273, 1110, 132, 48, 90, 9009, 10391
274, 1186, 113, 11, 169, 9156, 10637
275, 955, 130, 37, 206, 8940, 10269
276, 908, 129, 42, 304, 8887, 10272
277, 1043, 133, 12, 147, 8984, 10320
278, 919, 126, 62, 228, 9176, 10514
279, 962, 128, 11, 286, 8938, 10327
280, 1453, 139, 11, 409, 8665, 10679
281, 898, 6734, 1932, 477, 9804, 19847
282, 838, 99, 23, 130, 8735, 9827
283, 1162, 132, 11, 174, 8862, 10344
284, 909, 122, 69, 327, 9034, 10464
285, 897, 128, 71, 322, 8938, 10357
286, 1020, 126, 11, 203, 9252, 10613
287, 1308, 109, 9, 67, 9784, 11279
288, 949, 148, 56, 107, 10446, 11708
289, 1447, 133, 35, 164, 10701, 12481
290, 1286, 115, 11, 833, 9783, 12030
291, 1222, 132, 10, 168, 9666, 11201
292, 1080, 214, 10, 83, 10185, 11573
293, 861, 143, 11, 75, 15378, 16471
294, 918, 113, 9, 71, 9850, 10964
295, 956, 132, 10, 322, 9555, 10979
296, 844, 113, 9, 77, 9305, 10349
297, 1031, 157, 14, 290, 8949, 10444
298, 1867, 646, 3324, 1017, 11409, 18265
299, 935, 8672, 3955, 579, 11663, 25806
300, 1027, 102, 9, 320, 11061, 12521
301, 950, 247, 3239, 3742, 18621, 26802
302, 884, 160, 16, 365, 12521, 13947
303, 829, 153, 66, 409, 12218, 13678
304, 885, 211, 87, 389, 12373, 13946
305, 906, 146, 16, 334, 12047, 13450
306, 870, 141, 16, 241, 11724, 12994
307, 951, 133, 17, 370, 11988, 13460
308, 1246, 385, 20, 117, 10313, 12083
309, 787, 118, 9, 111, 10237, 11265
310, 712, 130, 11, 104, 10530, 11489
311, 1265, 150, 14, 258, 10557, 12247
312, 1049, 278, 14, 254, 10830, 12426
313, 924, 167, 10, 105, 11562, 12771
314, 976, 178, 14, 280, 10331, 11782
315, 1010, 236, 14, 301, 10782, 12346
316, 964, 180, 14, 333, 10920, 12412
317, 946, 9662, 2264, 568, 10839, 24280
318, 861, 106, 9, 73, 11365, 12416
319, 943, 134, 68, 179, 10755, 12082
320, 789, 134, 10, 275, 10645, 11855
321, 2086, 132, 346, 371, 13257, 16194
322, 964, 563, 20, 231, 12207, 13986
323, 891, 162, 54, 328, 12309, 13746
324, 1384, 625, 225, 529, 13049, 15815
325, 1220, 345, 311, 405, 12782, 15065
326, 896, 162, 99, 326, 10584, 12069
327, 930, 189, 14, 262, 10037, 11434
328, 1053, 326, 19, 200, 10026, 11626
329, 1061, 140, 10, 313, 10438, 11965
330, 1043, 200, 2956, 480, 13170, 17851
331, 853, 112, 10, 109, 12584, 13670
332, 775, 110, 9, 88, 12527, 13511
333, 1529, 589, 2973, 4051, 23036, 32180
334, 1295, 10770, 2669, 667, 12539, 27941
335, 982, 177, 16, 170, 12352, 13699
336, 1131, 265, 41, 233, 12060, 13731
337, 950, 153, 87, 322, 11878, 13392
338, 925, 152, 16, 388, 11859, 13343
339, 931, 152, 100, 263, 11730, 13178
340, 925, 152, 25, 157, 11924, 13186
341, 930, 154, 24, 161, 11838, 13109
342, 888, 143, 75, 319, 11954, 13380
343, 1081, 274, 2161, 517, 10895, 14930
344, 1002, 235, 15, 312, 10446, 12011
345, 885, 130, 16, 171, 10556, 11760
346, 873, 127, 16, 167, 10436, 11621
347, 876, 109, 35, 177, 10626, 11825
348, 879, 127, 16, 177, 10538, 11738
349, 877, 128, 16, 173, 10761, 11956
350, 900, 130, 16, 175, 10365, 11588
351, 873, 129, 16, 183, 10500, 11703
352, 882, 9155, 2125, 435, 10333, 22931
353, 1054, 122, 10, 97, 10467, 11750
354, 1152, 116, 10, 155, 10609, 12044
355, 1153, 114, 9, 850, 10365, 12493
356, 727, 103, 9, 68, 10205, 11113
357, 752, 137, 10, 101, 10580, 11583
358, 982, 138, 9, 205, 10227, 11563
359, 1099, 285, 2180, 651, 8880, 13097
360, 1215, 112, 11, 115, 9316, 10772
361, 984, 147, 16, 213, 9099, 10461
362, 908, 152, 16, 279, 9127, 10484
363, 908, 141, 16, 275, 9160, 10502
364, 996, 125, 37, 304, 9040, 10504
365, 860, 151, 16, 256, 9101, 10386
366, 875, 124, 38, 200, 9676, 10915
367, 699, 154, 11, 95, 9234, 10195
368, 734, 106, 9, 79, 9424, 10354
369, 1015, 129, 37, 270, 9000, 10453
370, 947, 8855, 1793, 472, 9723, 21792
371, 817, 97, 34, 180, 9706, 10837
372, 782, 94, 9, 59, 9589, 10535
373, 1323, 198, 2812, 495, 7713, 12543
374, 864, 115, 69, 180, 7941, 9171
375, 836, 116, 60, 80, 8000, 9093
376, 1020, 111, 11, 112, 7975, 9231
377, 1162, 289, 1787, 313, 6182, 9735
378, 858, 114, 11, 128, 6502, 7615
379, 933, 123, 9, 60, 6717, 7844
380, 800, 110, 11, 105, 6573, 7602
381, 854, 110, 11, 124, 6506, 7607
382, 991, 131, 13, 237, 7281, 8654
383, 934, 128, 12, 107, 7079, 8262
384, 906, 121, 13, 109, 7001, 8151
385, 990, 97, 13, 56, 6683, 7841
386, 793, 106, 11, 118, 6847, 7878
387, 903, 147, 11, 59, 7099, 8221
388, 922, 127, 12, 247, 6974, 8284
389, 863, 6015, 1366, 356, 6705, 15307
390, 870, 123, 11, 232, 6493, 7732
391, 925, 124, 19, 263, 6311, 7644
392, 699, 109, 9, 55, 6625, 7499
393, 828, 119, 11, 291, 6443, 7694
394, 1052, 131, 25, 251, 6885, 8345
395, 1091, 521, 1978, 474, 7942, 12007
396, 994, 124, 12, 296, 8320, 9747
397, 1051, 129, 13, 188, 8667, 10049
398, 1145, 108, 11, 242, 7578, 9086
399, 834, 122, 66, 281, 7811, 9116
400, 985, 124, 13, 120, 8335, 9579
401, 845, 123, 40, 185, 7700, 8896
402, 817, 315, 18, 77, 7700, 8929
403, 1010, 125, 13, 317, 8586, 10052
