FrameID, Prepare, Placement, Opacity, Upload, Render, Total
71, 1075, 0, 0, 128, 5351, 6556
72, 794, 0, 0, 2432, 16750, 19977
73, 1216, 0, 0, 4702, 24876, 30795
74, 878, 0, 0, 2220, 16508, 19608
75, 826, 0, 0, 2277, 16652, 19756
76, 711, 0, 0, 2183, 15996, 18891
77, 685, 0, 0, 2130, 15389, 18205
78, 672, 0, 0, 1639, 12809, 15120
79, 6190, 0, 0, 749, 7447, 14387
80, 5844, 0, 0, 2805, 18891, 27541
81, 3507, 0, 0, 2918, 19193, 25620
82, 3415, 0, 0, 3272, 17973, 24661
83, 10494, 0, 0, 2740, 16245, 29480
84, 1084, 0, 0, 2787, 16444, 20316
85, 2985, 0, 0, 2885, 21067, 26938
86, 16429, 0, 0, 15417, 36645, 68492
87, 6031, 0, 0, 12965, 30731, 49728
88, 3551, 0, 0, 3119, 18044, 24715
89, 9278, 0, 0, 3416, 14387, 27082
90, 800, 0, 0, 1976, 14818, 17595
91, 930, 0, 0, 1994, 15630, 18555
92, 699, 0, 0, 2525, 15738, 18964
93, 966, 0, 0, 8903, 14811, 24682
94, 3475, 0, 0, 3457, 14049, 20981
95, 843, 0, 0, 2441, 16934, 20219
96, 714, 0, 0, 2020, 17056, 19791
97, 630, 0, 0, 1336, 11903, 13869
98, 1299, 0, 0, 2767, 15657, 19724
99, 973, 0, 0, 1971, 14495, 17440
100, 960, 0, 0, 1969, 14869, 17799
101, 1138, 0, 0, 4241, 13737, 19117
102, 878, 0, 0, 2154, 14016, 17049
103, 853, 0, 0, 2958, 15108, 18920
104, 1602, 0, 0, 3062, 13642, 18307
105, 902, 0, 0, 2296, 15441, 18639
106, 1103, 0, 0, 2415, 16732, 20251
107, 1542, 0, 0, 2351, 14838, 18732
108, 907, 0, 0, 1977, 15387, 18273
109, 1874, 0, 0, 3219, 17812, 22906
110, 1087, 0, 0, 11526, 26607, 39222
111, 1730, 0, 0, 6493, 27614, 35838
112, 1649, 0, 0, 8760, 23007, 33417
113, 974, 0, 0, 4042, 19003, 24021
114, 1142, 0, 0, 2974, 20630, 24747
115, 918, 0, 0, 2964, 19245, 23128
116, 947, 0, 0, 2761, 19500, 23209
117, 1170, 0, 0, 2916, 20713, 24800
118, 765, 0, 0, 5867, 19545, 26178
119, 2576, 0, 0, 5456, 22746, 30779
120, 1871, 0, 0, 3500, 18601, 23973
121, 880, 0, 0, 3133, 19652, 23666
122, 1018, 0, 0, 2987, 20576, 24581
123, 1557, 0, 0, 4499, 20610, 26668
124, 1655, 0, 0, 3692, 54947, 60295
125, 1045, 0, 0, 3366, 20442, 24854
126, 1206, 0, 0, 3513, 19051, 23771
127, 784, 0, 0, 2989, 18416, 22190
128, 1022, 0, 0, 2911, 20230, 24164
129, 798, 0, 0, 4018, 23510, 28327
130, 2444, 0, 0, 3548, 21303, 27296
131, 1194, 0, 0, 6550, 23309, 31054
132, 1078, 0, 0, 4542, 27373, 32994
133, 6236, 0, 0, 4888, 28969, 40094
134, 2062, 0, 0, 7341, 46953, 56357
135, 2096, 0, 0, 3833, 54706, 60636
136, 2150, 0, 0, 8353, 29658, 40161
137, 4075, 0, 0, 14988, 23686, 42750
138, 1654, 0, 0, 8190, 35815, 45660
139, 2601, 0, 0, 10082, 26002, 38685
140, 979, 0, 0, 3159, 24941, 29080
141, 1074, 0, 0, 3222, 22385, 26682
142, 934, 0, 0, 3953, 24563, 29450
143, 1132, 0, 0, 16732, 25209, 43073
144, 910, 0, 0, 7270, 24468, 32648
145, 7851, 0, 0, 3443, 22447, 33742
146, 964, 0, 0, 4005, 22199, 27169
147, 1037, 0, 0, 2878, 22901, 26817
148, 1015, 0, 0, 2956, 21726, 25698
149, 1102, 0, 0, 2801, 21784, 25688
150, 1144, 0, 0, 3322, 20973, 25440
151, 898, 0, 0, 2907, 22165, 25971
152, 953, 0, 0, 2858, 23410, 27222
153, 1140, 0, 0, 3579, 22858, 27578
154, 1156, 0, 0, 2353, 20130, 23641
155, 832, 0, 0, 2900, 18572, 22305
156, 1056, 0, 0, 2422, 18180, 21659
157, 749, 0, 0, 2964, 17824, 21539
158, 971, 0, 0, 2561, 17358, 20890
159, 995, 0, 0, 2418, 17688, 21102
160, 947, 0, 0, 2538, 16674, 20160
161, 927, 0, 0, 2383, 17078, 20389
162, 950, 0, 0, 2408, 17151, 20510
163, 1039, 0, 0, 2558, 17335, 20933
164, 991, 0, 0, 2489, 17339, 20820
165, 889, 0, 0, 2370, 21410, 24670
166, 840, 0, 0, 2384, 18469, 21693
167, 936, 0, 0, 2237, 17843, 21018
168, 1037, 0, 0, 2387, 16415, 19841
169, 851, 0, 0, 2354, 17772, 20977
170, 3562, 0, 0, 3610, 17992, 25166
171, 6088, 0, 0, 2781, 16169, 25039
172, 5472, 0, 0, 2203, 17029, 24705
173, 4176, 0, 0, 3201, 16545, 23924
174, 1059, 0, 0, 2387, 17628, 21075
175, 958, 0, 0, 2409, 17484, 20852
176, 944, 0, 0, 2699, 16075, 19719
177, 703, 0, 0, 1658, 13605, 15966
178, 708, 0, 0, 1839, 14908, 17457
179, 729, 0, 0, 2274, 31315, 34319
180, 1261, 0, 0, 4648, 16699, 22610
181, 982, 0, 0, 3459, 19002, 23444
182, 1250, 0, 0, 6503, 18020, 25773
183, 1618, 0, 0, 11683, 22691, 35992
184, 914, 0, 0, 2749, 24036, 27701
185, 4152, 0, 0, 2948, 18639, 25740
186, 1927, 0, 0, 6265, 19226, 27419
187, 1202, 0, 0, 2858, 17119, 21179
188, 1043, 0, 0, 2384, 17846, 21274
189, 1197, 0, 0, 2315, 18429, 21942
190, 931, 0, 0, 2260, 17978, 21170
191, 1118, 0, 0, 2332, 18171, 21622
192, 957, 0, 0, 2294, 17482, 20734
193, 1076, 0, 0, 2722, 17145, 20944
194, 853, 0, 0, 2358, 18560, 21772
195, 920, 0, 0, 2491, 17883, 21296
196, 857, 0, 0, 2295, 17505, 20658
197, 988, 0, 0, 2375, 18398, 21761
198, 872, 0, 0, 2531, 17705, 21109
199, 936, 0, 0, 6399, 16116, 23451
200, 3943, 0, 0, 3604, 16456, 24004
201, 4115, 0, 0, 3944, 16615, 24674
202, 4444, 0, 0, 5458, 18576, 28480
203, 4766, 0, 0, 2959, 16347, 24074
204, 4075, 0, 0, 3181, 18032, 25289
205, 1364, 0, 0, 7383, 17164, 25912
206, 966, 0, 0, 6364, 22786, 30117
207, 3260, 0, 0, 5145, 20366, 28772
208, 4843, 0, 0, 6102, 24293, 35239
209, 1408, 0, 0, 2471, 17768, 21647
210, 784, 0, 0, 3707, 16945, 21436
211, 905, 0, 0, 2374, 17360, 20640
212, 4207, 0, 0, 3677, 28447, 36332
213, 5945, 0, 0, 3142, 19672, 28759
214, 1386, 0, 0, 23779, 23149, 48315
215, 1525, 0, 0, 9802, 23460, 34788
216, 1115, 0, 0, 5007, 20231, 26354
217, 907, 0, 0, 5171, 22223, 28302
218, 1047, 0, 0, 5419, 19652, 26119
219, 1594, 0, 0, 3575, 25161, 30331
220, 986, 0, 0, 4574, 19685, 25246
221, 954, 0, 0, 3081, 19403, 23438
222, 1402, 0, 0, 3178, 20647, 25227
223, 1177, 0, 0, 4131, 21165, 26474
224, 1029, 0, 0, 2984, 30299, 34313
225, 931, 0, 0, 3048, 23352, 27332
226, 1191, 0, 0, 4305, 19823, 25320
227, 1011, 0, 0, 3522, 21496, 26030
228, 1131, 0, 0, 4670, 30025, 35827
229, 16182, 0, 0, 4071, 24475, 44729
230, 5521, 0, 0, 9827, 21871, 37219
231, 949, 0, 0, 8628, 19693, 29271
232, 9193, 0, 0, 13681, 32930, 55805
233, 1541, 0, 0, 7607, 21550, 30699
234, 993, 0, 0, 3589, 24789, 29372
235, 13748, 0, 0, 4525, 21300, 39575
236, 992, 0, 0, 2960, 20039, 23992
237, 1068, 0, 0, 2546, 19516, 23130
238, 856, 0, 0, 3342, 17203, 21402
239, 990, 0, 0, 2713, 17179, 20884
240, 3454, 0, 0, 6056, 17574, 27084
241, 1118, 0, 0, 2803, 17187, 21110
242, 1442, 0, 0, 3072, 22303, 26817
243, 1443, 0, 0, 19809, 20643, 41896
244, 1293, 0, 0, 3164, 15666, 20123
245, 3199, 0, 0, 4749, 18968, 26917
246, 1347, 0, 0, 2216, 26068, 29632
247, 2535, 0, 0, 38601, 22714, 63852
248, 1133, 0, 0, 1782, 11333, 14249
249, 681, 0, 0, 1041, 8902, 10625
250, 693, 0, 0, 4277, 11630, 16601
251, 648, 0, 0, 1800, 12236, 14685
252, 618, 0, 0, 1824, 11304, 13747
253, 575, 0, 0, 1834, 11805, 14215
254, 668, 0, 0, 5738, 20783, 27189
255, 1373, 0, 0, 1797, 21518, 24689
256, 1168, 0, 0, 599, 6032, 7800
257, 1519, 0, 0, 759, 10494, 12773
258, 1141, 0, 0, 1534, 15605, 18281
259, 1159, 0, 0, 3412, 14598, 19171
260, 1108, 0, 0, 2795, 14111, 18015
